feature,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
vix,4708.0,19.834791845452916,8.862717133798776,9.140000343322754,9.890000343322754,11.43000030517578,13.970000267028809,17.459999084472656,22.86000061035156,35.95600090026854,57.039001159668054,82.69000244140625
vvix,4708.0,93.55002126474956,16.31998078138438,59.7400016784668,66.11770065307617,71.42349891662597,82.48749923706055,90.70999908447266,102.0525016784668,122.1330005645752,143.50460418701178,207.58999633789065
rv20,4688.0,16.366492600709,11.54279346396172,3.185963559043861,5.099260563189411,6.313380488227792,9.570849004660122,13.551750717544323,19.411573757017027,32.75377966697631,75.72117299772815,93.97120540070526
dvix_5,4703.0,0.004490750965959538,3.7374892910193585,-26.37999725341797,-9.707800979614257,-4.949999713897705,-1.5900001525878915,-0.17000007629394887,1.3050003051757821,5.378999137878417,11.719601211547843,35.85000228881836
dvix_20,4688.0,0.019872014026186165,6.369403340739889,-44.93000411987305,-15.376900749206543,-7.766500377655029,-2.6900005340576176,-0.36000061035155895,2.1100006103515625,9.100000381469727,23.11599859237673,69.01000213623047
