column,n_missing,pct_missing
date,0,0.0
vix,0,0.0
spy_tr,0,0.0
vvix,0,0.0
dvix_5,5,0.10620220900594733
dvix_20,20,0.4248088360237893
ret,1,0.021240441801189464
rv20,20,0.4248088360237893
vix_z,251,5.3313508920985555
vvix_z,251,5.3313508920985555
rv20_z,271,5.756159728122345
dvix_5_z,256,5.437553101104503
dvix_20_z,271,5.756159728122345
